Timestamp(ms),Current(uA)
9030,3508.411
9040,3509.757
9050,3507.585
9060,3511.516
9070,3509.021
9080,3507.716
9090,3504.484
9100,3512.700
9110,3506.777
9120,3513.861
9130,3509.718
9140,3506.691
9150,3504.401
9160,3508.316
9170,3510.156
9180,3509.045
9190,3509.990
9200,3510.368
9210,3514.671
9220,3511.553
9230,3510.075
9240,3511.813
9250,3512.292
9260,3513.724
9270,3511.886
9280,3507.933
9290,3513.449
9300,3511.198
9310,3510.455
9320,3510.195
9330,3513.932
9340,3508.563
9350,3516.162
9360,3517.234
9370,3511.904
9380,3517.261
9390,3511.954
9400,3512.052
9410,3512.538
9420,3515.902
9430,3510.526
9440,3511.690
9450,3514.000
9460,3509.679
9470,3513.842
9480,3515.904
9490,3516.103
9500,3518.711
9510,3515.289
9520,3512.562
9530,3512.850
9540,3514.757
9550,3510.772
9560,3513.886
9570,3515.311
9580,3511.862
9590,3512.896
9600,3513.350
9610,3511.856
9620,3517.573
9630,3514.456
9640,3517.450
9650,3510.462
9660,3514.229
9670,3511.670
9680,3518.233
9690,3510.520
9700,3512.953
9710,3510.624
9720,3507.927
9730,3510.791
9740,3513.918
9750,3513.755
9760,3513.721
9770,3513.281
9780,3510.517
9790,3510.227
9800,3510.256
9810,3514.735
9820,3511.860
9830,3512.258
9840,3511.453
9850,3511.099
9860,3506.515
9870,3507.165
9880,3505.699
9890,3511.456
9900,3511.981
9910,3512.339
9920,3507.720
9930,3510.368
9940,3512.130
9950,3507.663
9960,3514.783
9970,3509.646
9980,3510.558
9990,3516.854
10000,3514.529
10010,3514.345
10020,3510.356
10030,3509.672
10040,3507.612
10050,3512.398
10060,3512.565
10070,3512.673
10080,3511.036
10090,3509.574
10100,3511.945
10110,3509.828
10120,3514.292
10130,3513.461
10140,3513.302
10150,3513.256
10160,3512.084
10170,3513.197
10180,3511.399
10190,3515.952
10200,3516.394
10210,3514.933
10220,3512.774
10230,3514.174
10240,3514.852
10250,3512.196
10260,3510.515
10270,3508.876
10280,3513.802
10290,3512.455
10300,3511.454
10310,3512.049
10320,3512.714
10330,3508.572
10340,3515.754
10350,3512.161
10360,3506.730
10370,3507.873
10380,3510.304
10390,3513.383
10400,3506.360
10410,3511.796
10420,3512.163
10430,3512.765
10440,3511.340
10450,3509.474
10460,3513.564
10470,3509.256
10480,3506.492
10490,3506.326
10500,3509.387
10510,3514.875
10520,3513.689
10530,3511.353
10540,3512.095
10550,3512.520
10560,3512.509
10570,3513.732
10580,3513.349
10590,3515.151
10600,3516.385
10610,3508.237
10620,3512.711
10630,3516.074
10640,3509.544
10650,3514.840
10660,3515.449
10670,3510.767
10680,3515.195
10690,3512.771
10700,3507.526
10710,3511.223
10720,3513.128
10730,3512.793
10740,3515.753
10750,3514.792
10760,3517.491
10770,3514.018
10780,3515.244
10790,3514.840
10800,3513.726
10810,3512.074
10820,3516.664
10830,3520.023
10840,3515.065
10850,3515.443
10860,3515.915
10870,3516.095
10880,3511.057
10890,3509.624
10900,3512.604
10910,3510.559
10920,3515.937
10930,3507.908
10940,3512.349
10950,3513.377
10960,3516.865
10970,3506.451
10980,3514.382
10990,3516.965
11000,3514.575
11010,3515.887
11020,3509.443
11030,3513.268
11040,3515.232
11050,3512.912
11060,3512.534
11070,3512.873
11080,3512.407
11090,3514.786
11100,3512.520
11110,3516.717
11120,3511.780
11130,3512.972
11140,3516.686
11150,3514.311
11160,3515.295
11170,3518.856
11180,3674.604
11190,4091.198
11200,4228.610
11210,14404.272
11220,25827.979
11230,30010.496
11240,31523.408
11250,32075.871
11260,32252.143
11270,32323.457
11280,32348.789
11290,32356.432
11300,32343.762
11310,32337.756
11320,32334.961
11330,32333.357
11340,32327.273
11350,32329.904
11360,32319.342
11370,32903.082
11380,34273.625
11390,34791.492
11400,34274.668
11410,35697.914
11420,36456.680
11430,36468.602
11440,36942.121
11450,36637.461
11460,37044.457
11470,37209.188
11480,36993.320
11490,37114.520
11500,36667.578
11510,37005.059
11520,36944.629
11530,37280.035
11540,37593.336
11550,37504.980
11560,37698.902
11570,37450.926
11580,37721.891
11590,37234.672
11600,37594.879
11610,37716.527
11620,37025.434
11630,36635.832
11640,36948.387
11650,36834.621
11660,36620.539
11670,36605.367
11680,36793.422
11690,36933.688
11700,36949.051
11710,37334.988
11720,37465.555
11730,37448.340
11740,37231.938
11750,37040.852
11760,37408.879
11770,36968.148
11780,36630.711
11790,36778.184
11800,37265.977
11810,37238.949
11820,37096.648
11830,37521.285
11840,37525.344
11850,37214.699
