Timestamp(ms),Current(uA)
10190,42012.453
10200,42210.703
10210,42249.980
10220,42305.266
10230,42255.211
10240,41360.168
10250,41311.375
10260,41462.832
10270,41457.688
10280,41538.586
10290,41468.363
10300,41348.277
10310,41478.762
10320,41617.195
10330,41592.984
10340,41619.402
10350,41324.477
10360,41813.797
10370,41551.746
10380,41963.137
10390,42037.844
10400,41831.980
10410,42003.918
10420,41901.602
10430,42074.367
10440,41632.012
10450,41921.824
10460,41994.711
10470,41820.898
10480,41995.605
10490,41332.688
10500,41433.586
10510,41303.219
10520,41326.367
10530,41204.027
10540,40717.262
10550,41096.641
10560,41296.832
10570,41322.867
10580,41397.938
10590,41318.070
10600,41449.289
10610,41771.039
10620,41729.281
10630,41918.598
10640,41550.133
10650,41934.391
10660,42140.809
10670,41996.199
10680,42190.551
10690,41821.617
10700,42007.680
10710,41621.289
10720,41926.242
10730,41582.723
10740,41186.988
10750,41231.012
10760,41270.469
10770,41211.953
10780,41223.238
10790,41136.664
10800,41135.957
10810,41054.320
10820,41098.047
10830,41041.797
10840,41091.191
10850,41705.426
10860,41452.391
10870,41270.848
10880,41296.379
10890,41235.938
10900,41287.137
10910,41216.348
10920,41260.719
10930,41204.977
10940,40891.914
10950,41264.848
10960,41478.195
10970,41509.316
10980,41600.438
10990,41550.250
11000,41596.902
11010,41525.566
11020,41607.941
11030,41541.160
11040,41603.832
11050,41559.938
11060,41624.922
11070,41554.480
11080,41644.941
11090,41590.285
11100,41663.859
11110,41574.340
11120,41651.781
11130,41591.824
11140,41356.602
11150,41364.969
11160,41598.441
11170,41606.512
11180,41716.152
11190,41683.520
11200,41740.918
11210,41691.637
11220,41759.418
11230,41690.012
11240,41740.699
11250,41701.684
11260,41748.410
11270,41689.742
11280,41753.063
11290,41700.148
11300,41773.441
11310,41715.539
11320,41770.496
11330,41717.934
11340,41788.883
11350,41335.184
11360,41558.578
11370,41574.316
11380,41654.340
11390,41638.859
11400,41699.398
11410,41632.680
11420,41704.449
11430,41653.840
11440,41714.855
11450,41669.480
11460,41713.578
11470,41650.500
11480,41722.035
11490,41676.828
11500,41742.051
11510,41661.047
11520,41722.500
11530,41673.305
11540,41634.047
11550,40888.723
11560,41306.020
11570,41392.777
11580,41495.816
11590,41459.883
11600,41531.652
11610,41464.578
11620,41531.871
11630,41471.254
11640,41523.078
11650,41482.941
11660,41530.676
11670,41462.117
11680,41533.426
11690,41486.809
11700,41543.848
11710,41478.723
11720,41550.105
11730,41492.008
11740,41547.656
11750,41429.715
11760,41557.473
11770,41874.316
11780,42063.809
11790,42037.418
11800,42129.469
11810,41835.652
11820,42103.012
11830,42113.840
11840,42206.898
11850,42870.066
11860,42021.238
11870,42237.238
11880,42395.832
11890,42251.766
11900,42459.762
11910,42109.000
11920,42471.379
11930,42525.621
11940,42607.098
11950,42537.543
11960,42224.523
11970,42377.629
11980,42536.387
11990,42572.289
12000,42676.711
12010,42283.559
12020,41936.594
12030,41966.168
12040,42048.219
12050,42021.398
12060,42077.016
12070,41775.234
12080,42046.039
12090,42070.656
12100,42163.359
12110,42096.387
12120,41578.926
12130,41884.883
12140,42083.785
12150,42063.508
12160,42093.457
12170,41968.480
12180,41734.355
12190,41891.801
12200,42025.438
12210,41982.563
12220,42044.309
12230,41493.719
12240,41869.234
12250,41935.238
12260,42039.047
12270,41997.059
12280,41734.102
12290,42125.422
12300,42508.770
12310,42384.676
12320,42640.941
12330,42191.398
12340,42611.012
12350,42212.098
12360,42521.828
12370,42609.824
12380,42019.941
12390,41965.707
12400,41991.129
12410,41911.297
12420,41923.277
12430,41370.625
12440,41734.938
12450,41760.676
12460,41845.758
12470,41808.590
12480,41779.758
12490,41632.008
12500,41911.895
12510,41920.125
12520,42022.871
12530,41964.707
12540,41638.020
12550,41862.793
12560,42054.910
12570,42038.699
12580,42096.367
12590,41490.887
12600,41803.285
12610,41901.813
12620,42025.711
12630,41978.195
12640,41952.145
12650,41916.758
12660,42397.059
12670,42190.000
12680,42515.691
12690,41982.945
12700,42423.523
12710,42511.199
12720,42345.555
12730,42507.289
12740,41624.605
12750,41831.805
12760,41946.973
12770,41925.703
12780,41949.520
12790,41846.582
12800,41792.098
12810,41594.934
12820,41408.215
12830,41296.441
12840,41298.266
12850,41938.977
12860,41631.457
12870,41479.234
12880,41476.504
12890,41278.133
12900,41258.113
12910,41173.113
12920,41184.648
12930,41138.352
12940,41171.352
12950,40989.078
12960,41323.246
12970,41399.113
12980,41483.984
12990,41457.320
13000,41508.246
13010,41466.313
13020,41519.309
13030,41486.090
13040,41513.180
13050,41489.016
13060,41537.273
13070,41502.582
13080,41554.758
13090,41499.430
13100,41543.477
13110,41487.512
13120,41533.293
13130,41504.012
13140,41535.840
13150,41072.438
13160,41410.586
13170,41484.492
13180,41583.773
13190,41559.527
13200,41600.109
13210,41555.543
13220,41606.965
13230,41579.223
13240,41629.297
13250,41598.113
13260,41634.266
13270,41579.484
13280,41635.473
13290,41597.215
13300,41665.102
13310,41635.453
13320,41655.730
13330,41604.691
13340,41646.000
13350,41346.109
13360,41440.699
13370,41517.449
13380,41565.594
13390,41530.328
13400,41585.496
13410,41520.309
13420,41573.141
13430,41531.988
13440,41568.426
13450,41537.969
13460,41581.254
13470,41541.477
13480,41592.902
13490,41549.383
13500,41587.973
13510,41532.855
13520,41581.246
13530,41528.688
13540,41571.383
13550,41365.680
13560,41281.570
13570,41705.301
13580,41926.605
13590,41942.922
13600,42006.184
13610,41664.832
13620,41958.422
13630,42018.207
13640,42093.383
13650,42077.953
13660,41771.086
13670,41880.887
13680,42115.113
13690,41949.629
