Timestamp(ms),Current(uA)
17320,43304.129
17330,43102.297
17340,43400.586
17350,43490.680
17360,43270.438
17370,43494.211
17380,43381.340
17390,43564.117
17400,42965.598
17410,43078.367
17420,43029.633
17430,42628.723
17440,42768.367
17450,42370.453
17460,42627.426
17470,42641.746
17480,42537.164
17490,42767.527
17500,42382.047
17510,42657.254
17520,42369.816
17530,42952.070
17540,42975.301
17550,42803.133
17560,42867.652
17570,43183.992
17580,43081.289
17590,43081.305
17600,42634.473
17610,42724.344
17620,42785.664
17630,42509.754
17640,42640.801
17650,42262.715
17660,42692.941
17670,42758.824
17680,42702.426
17690,42871.117
17700,42477.063
17710,42829.840
17720,42552.805
